"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"166","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Composer","Metal","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"167","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"168","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"169","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"170","Age 35-44","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"171","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Gospel","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"172","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"173","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"174","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Composer","Metal","Non-exploring","Only fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"175","Age < 18","hours <= 2","Not listening while working","Instrumentalist","Composer","Video game music","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"176","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"177","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"178","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"179","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Folk","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"180","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"181","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"182","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"183","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"184","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"185","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"186","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Not Depressed","Fairly Insomniac","O-C"
"187","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"188","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Fairly O-C"
"189","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"190","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"191","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"192","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"193","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"194","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"195","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"196","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"197","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"198","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Anxious","Depressed","Insomniac","O-C"
"199","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Not Depressed","Insomniac","O-C"
"200","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"201","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"202","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"203","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"204","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"205","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","O-C"
"206","Age 25-34","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"207","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Classical","Non-exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","O-C"
"208","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"209","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Not Depressed","Fairly Insomniac","Fairly O-C"
"210","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"211","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"212","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"213","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"214","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"215","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"216","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Insomniac","O-C"
"217","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"218","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"219","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"220","Age 35-44","6+ hours","Listening while working","Instrumentalist","Composer","Video game music","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"221","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"222","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"223","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"224","Age 18-24","6+ hours","Listening while working",NA,"Non-composer","K pop","Exploring","Not Fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"225","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"226","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"227","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"228","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"229","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"230","Age 55-64","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"231","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"232","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"233","Age 35-44","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Country","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"234","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"235","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"236","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Metal","Exploring",NA,"Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"237","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Folk","Exploring","Not Fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"238","Age 45-54","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"239","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"240","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Composer","EDM","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"241","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"242","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"243","Age 25-34","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Classical","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"244","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"245","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"246","Age 35-44","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"247","Age < 18","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","O-C"
"248","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"249","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Composer","Metal","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"250","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"251","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Lofi","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"252","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"253","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","O-C"
"254","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"255","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"256","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"257","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","O-C"
"258","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"259","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"260","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","Fairly O-C"
"261","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"262","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"263","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Fairly O-C"
"264","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"265","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"266","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"267","Age 25-34","6+ hours","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"268","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"269","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Composer","Folk","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"270","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"271","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"272","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"273","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"274","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Composer","Video game music","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","O-C"
"275","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"276","Age < 18","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"277","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"278","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Composer","Video game music","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"279","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Video game music","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","O-C"
"280","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"281","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"282","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"283","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"284","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"285","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"286","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"287","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"288","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Pop","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"289","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Insomniac","Fairly O-C"
"290","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"291","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"292","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"293","Age < 18","2 < hours <= 4","Not listening while working","Instrumentalist","Composer","Metal","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"294","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"295","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Jazz","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"296","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"297","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"298","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"299","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"300","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Country","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"301","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"302","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"303","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"304","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"305","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"306","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"307","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"308","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"309","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","O-C"
"310","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"311","Age 45-54","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"312","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","EDM","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"313","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"314","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"315","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"316","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"317","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"318","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"319","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"320","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"321","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"322","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","O-C"
"323","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"324","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"325","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"326","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Pop","Exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"327","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"328","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"329","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"330","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Not Depressed","Fairly Insomniac","Not O-C"
